周次,发布视频数,发布图文数,总播放量,最高单条播放,抖音净增粉丝,小红书净增粉丝,新增私信数,加微信人数,其中企业主人数,"你能帮我做吗"次数,成交订单数,成交金额
第1周,,,,,,,,,,,,
第2周,,,,,,,,,,,,
第3周,,,,,,,,,,,,
第4周,,,,,,,,,,,,
